of_id,article_ref,article_family,diameter_mm,material,color,quantity,machine_id,machine_type,actual_start_ts,actual_end_ts,downtime_min,status,record_created_ts
OF-2024-01296,ART-S29,Soudure,90.9,Aluminium,Vert,80,MCH-07,MANUAL,02/06/2024 19:40,03/06/2024 01:12,30.5,done,03/06/2024 01:16
OF-2024-01297,ART-A26,Assemblage,183.1,Inox,Rouge,114,MCH-06,MANUAL,2024-02-19 10:28:22,2024-02-19 15:22:08,0.0,done,2024-02-19 15:23:00
OF-2024-01298,ART-S13,Soudure,74.7,Acier,Jaune,14,MCH-09,ROBOT_CELL,2024-07-06 17:01:52,2024-07-06 17:55:00,0.0,done,2024-07-06 17:59:55
OF-2024-01299,ART-S29,Soudure,90.9,Aluminium,Vert,49,MCH-08,MANUAL,2024-05-03 12:59:25,2024-05-03 15:53:57,26.6,done,2024-05-03 15:58:29
OF-2024-01300,ART-S33,Soudure,195.1,Inox,Gris,10,MCH-10,ROBOT_CELL,2024-08-02 14:35:02,2024-08-02 15:46:21,0.0,done,2024-08-02 15:50:54
OF-2024-01301,ART-A06,Assemblage,21.3,Acier,Noir,73,MCH-11,ROBOT_CELL,2024-03-14 13:48:11,2024-03-14 14:25:15,0.0,done,2024-03-14 14:27:51
OF-2024-01302,  ART-U16 ,Usinage,144.1,Aluminium,Noir,54,MCH-04,CNC_STD,2024-02-27 21:57:41,2024-02-27 23:58:59,0.0,done,2024-02-28 00:01:36
OF-2024-01303,ART-U28,Usinage,115.2,Aluminium,Bleu,38,MCH-04,CNC_STD,2024-03-21 14:22:05,2024-03-22 02:57:56,0.0,done,2024-03-22 03:02:02
OF-2024-01304,ART-U24,Usinage,173.0,Aluminium,Vert,31,MCH-01,CNC_FAST,2024-01-22 19:16:01,2024-01-22 20:23:32,0.0,done,2024-01-22 20:24:32
OF-2024-01305,ART-U28,Usinage,115.2,Aluminium,Bleu,59,MCH-01,CNC_FAST,2024-07-16 09:35:57,2024-07-16 10:51:49,0.0,done,2024-07-16 10:53:52
OF-2024-01306,ART-U04,Usinage,186.4,Inox,Rouge,20,MCH-02,CNC_FAST,2024-02-06 08:53:37,2024-02-06 10:03:26,0.0,done,2024-02-06 10:07:39
OF-2024-01307,ART-A10,Assemblage,48.9,Aluminium,Jaune,253,MCH-08,MANUAL,2024-08-28 15:05:16,2024-08-28 20:58:46,0.0,done,2024-08-28 21:00:56
OF-2024-01308,ART-F15,Finition,196.8,Titane,Jaune,59,MCH-02,CNC_FAST,2024-05-13 15:20:33,2024-05-13 16:48:54,0.0,done,2024-05-13 16:50:24
OF-2024-01309,ART-S05,Soudure,38.9,Acier,Vert,311,MCH-07,MANUAL,02/08/2024 21:29,03/08/2024 10:27,138.1,done,03/08/2024 10:29
OF-2024-01310,ART-A14,Assemblage,190.7,Acier,Noir,77,MCH-04,CNC_STD,2024-04-05 13:03:19,2024-04-05 15:36:44,26.3,done,2024-04-05 15:41:08
OF-2024-01311,ART-F11,Finition,147.9,Acier,Gris,29,MCH-08,MANUAL,2024-01-20 12:55:34,2024-01-20 13:49:01,16.1,done,2024-01-20 13:52:07
OF-2024-01312,ART-S21,Soudure,45.5,Inox,Vert,229,MCH-11,ROBOT_CELL,2024-04-15 12:57:38,2024-04-15 20:53:32,0.0,done,2024-04-15 20:58:01
OF-2024-01313,ART-U28,Usinage,115.2,Aluminium,Bleu,55,MCH-02,CNC_FAST,2024-05-11 21:29:00,2024-05-11 21:09:00,8.1,done,2024-05-11 22:31:40
OF-2024-01314,ART-A06,Assemblage,21.3,Acier,Noir,197,MCH-11,ROBOT_CELL,2024-03-07 15:10:00,2024-03-07 16:29:17,0.0,done,2024-03-07 16:30:32
OF-2024-01315,ART-F31,Finition,25.3,Inox,Gris,357,MCH-01,CNC_FAST,2024-07-03 07:53:38,2024-07-03 09:32:35,0.0,done,2024-07-03 09:36:41
OF-2024-01316,ART-F15,Finition,196.8,Titane,Jaune,42,MCH-01,CNC_FAST,2024-04-14 16:50:47,2024-04-14 18:01:23,7.4,done,2024-04-14 18:04:59
OF-2024-01317,ART-F15,Finition,196.8,Titane,Jaune,20,MCH-02,CNC_FAST,2024-03-09 15:45:13,2024-03-09 16:25:17,14.0,done,2024-03-09 16:26:12
OF-2024-01318,ART-F19,Finition,100.8,Aluminium,Gris,23,MCH-02,CNC_FAST,2024-03-11 11:43:06,2024-03-11 12:03:00,0.0,done,2024-03-11 12:04:41
OF-2024-01319,ART-S05,Soudure,38.9,Acier,Vert,73,MCH-10,ROBOT_CELL,2024-05-19 06:44:53,2024-05-19 08:41:16,0.0,done,2024-05-19 08:42:35
OF-2024-01320,ART-S09,Soudure,11.4,Acier,Jaune,32,MCH-07,MANUAL,06/02/2024 20:39,06/02/2024 21:59,0.0,done,06/02/2024 22:01
OF-2024-01321,ART-A18,Assemblage,15.6,Inox,Rouge,48,MCH-10,ROBOT_CELL,2024-01-08 08:02:48,2024-01-08 08:34:03,0.0,done,2024-01-08 08:37:42
OF-2024-01322,ART-U28,Usinage,115.2,Aluminium,Bleu,64,MCH-01,CNC_FAST,2024-04-14 07:40:50,2024-04-14 08:49:55,0.0,done,2024-04-14 08:53:25
OF-2024-01323,ART-U04,Usinage,186.4,Inox,Rouge,29,MCH-02,CNC_FAST,2024-05-08 13:55:23,2024-05-08 15:21:38,0.0,done,2024-05-08 15:25:53
OF-2024-01324,ART-S13,Soudure,74.7,Acier,Jaune,25,MCH-08,MANUAL,2024-04-30 13:18:29,2024-04-30 15:56:07,0.0,done,2024-04-30 15:59:09
OF-2024-01325,ART-S25,Soudure,151.9,Acier,Bleu,48,MCH-11,ROBOT_CELL,2024-06-29 17:52:14,2024-06-29 20:58:16,0.0,done,2024-06-29 21:01:03
OF-2024-01326,ART-S21,Soudure,45.5,Inox,Vert,10,MCH-11,ROBOT_CELL,2024-08-03 19:48:17,2024-08-03 20:37:01,0.0,done,2024-08-03 20:41:41
OF-2024-01327,ART-U16,Usinage,144.1,Aluminium,Noir,174,MCH-01,CNC_FAST,2024-07-27 11:58:25,2024-07-27 16:30:15,0.0,done,2024-07-27 16:34:54
OF-2024-01328,ARTU08,Usinage,22.6,Inox,Noir,50,MCH-04,CNC_STD,2024-02-29 08:32:44,2024-02-29 09:33:50,11.6,done,2024-02-29 09:38:12
OF-2024-01329,ART-U16-MM,Usinage,144.1,Aluminium,Noir,52,MCH-04,CNC_STD,2024-08-04 10:07:32,2024-08-04 11:48:08,8.7,done,2024-08-04 11:48:44
OF-2024-01330,ART-U28,Usinage,115.2,Aluminium,Bleu,149,MCH-01,CNC_FAST,2024-05-31 21:51:27,2024-06-01 00:40:47,49.8,done,2024-06-01 00:42:55
OF-2024-01331,ART-U04,Usinage,186.4,Inox,Rouge,77,MCH-04,CNC_STD,2024-03-08 19:48:31,2024-03-09 00:38:46,0.0,done,2024-03-09 00:40:56
OF-2024-01332,ART-U08-MM,Usinage,22.6,Inox,Noir,212,MCH-01,CNC_FAST,2024-02-22 12:05:52,2024-02-22 14:54:17,0.0,done,2024-02-22 14:56:18
OF-2024-01333,ART-S25,Soudure,151.9,Acier,Bleu,80,MCH-11,ROBOT_CELL,2024-05-20 07:06:21,,0.0,running,2024-05-20 11:57:19
OF-2024-01334,art-u12,Usinage,23.0,Titane,Noir,77,MCH-05,CNC_STD,2024-01-16 10:39:12,2024-01-16 12:28:11,0.0,done,2024-01-16 12:30:48
OF-2024-01335,ART-U00,Usinage,184.0,Inox,Jaune,43,MCH-05,CNC_STD,2024-07-26 12:19:19,2024-07-26 15:30:21,0.0,done,2024-07-26 15:31:59
OF-2024-01336,ART-F11,Finition,147.9,Acier,Gris,64,MCH-01,CNC_FAST,2024-05-29 12:37:17,2024-05-29 13:26:48,5.3,done,2024-05-29 13:27:50
OF-2024-01337,ART-U32,Usinage,131.7,Aluminium,Gris,60,MCH-02,CNC_FAST,2024-08-16 10:40:33,2024-08-16 12:33:16,0.0,done,2024-08-16 12:36:11
OF-2024-01338,ART-U32,Usinage,131.7,Aluminium,Gris,188,MCH-02,CNC_FAST,2024-01-24 10:41:24,2024-01-24 14:31:39,24.7,done,2024-01-24 14:32:12
OF-2024-01339,ART-U20,Usinage,23.4,Titane,Rouge,62,MCH-02,CNC_FAST,2024-01-18 09:09:24,2024-01-18 10:27:29,0.0,done,2024-01-18 10:30:51
OF-2024-01340,ART-A10,Assemblage,48.9,Aluminium,Jaune,352,MCH-06,MANUAL,2024-07-30 08:49:42,2024-07-30 13:57:25,24.9,done,2024-07-30 13:59:51
OF-2024-01341,ART-A22,Assemblage,105.9,Aluminium,Noir,10,MCH-04,CNC_STD,2024-02-15 20:32:28,2024-02-15 20:54:20,7.0,done,2024-02-15 20:57:57
OF-2024-01342,ART-U20,Usinage,23.4,Titane,Rouge,25,MCH-03,CNC_STD,2024-05-31 10:06:00,2024-05-31 10:51:54,0.0,done,2024-05-31 10:53:37
OF-2024-01343,ART-S13,Soudure,74.7,Acier,Jaune,259,MCH-06,MANUAL,2024-01-18 17:20:50,2024-01-19 12:47:20,0.0,done,2024-01-19 12:50:20
OF-2024-01344,ART-F27,Finition,162.2,Titane,Rouge,34,MCH-07,MANUAL,05/03/2024 12:27,05/03/2024 13:46,0.0,done,05/03/2024 13:49
OF-2024-01345,ART-U28,Usinage,115.2,Aluminium,Bleu,19,MCH-03,CNC_STD,2024-01-04 16:04:59,2024-01-04 16:56:17,0.0,done,2024-01-04 16:58:22
OF-2024-01346,ART-A02,Assemblage,36.9,Aluminium,Vert,68,MCH-08,MANUAL,2024-03-01 19:31:47,2024-03-01 20:24:22,13.4,done,2024-03-01 20:25:47
OF-2024-01347,ART-U32,Usinage,131.7,Aluminium,Gris,33,MCH-04,CNC_STD,2024-02-13 13:55:47,2024-02-13 15:08:03,0.0,done,2024-02-13 15:09:39
OF-2024-01348,ART-U08-MM,Usinage,22.6,Inox,Noir,29,MCH-04,CNC_STD,2024-07-09 09:14:14,2024-07-09 09:54:53,0.0,done,2024-07-09 09:59:04
OF-2024-01349,ART-U16,Usinage,144.1,Aluminium,Noir,38,MCH-01,CNC_FAST,2024-08-01 11:05:17,2024-08-01 12:23:37,0.0,done,2024-08-01 12:25:29
OF-2024-01350,ART-A26,Assemblage,183.1,Inox,Rouge,35,MCH-03,CNC_STD,2024-07-29 14:27:46,2024-07-29 15:52:50,22.2,done,2024-07-29 15:55:39
OF-2024-01351,ART-U16,Usinage,144.1,Aluminium,Noir,213,MCH-04,CNC_STD,2024-03-27 07:05:25,2024-03-29 16:58:58,0.0,done,2024-03-29 17:01:41
OF-2024-01352,ART-F31,Finition,25.3,Inox,Gris,26,MCH-02,CNC_FAST,2024-03-15 07:07:18,2024-03-15 07:22:01,0.0,done,2024-03-15 07:22:57
OF-2024-01353,ART-F19,Finition,100.8,Aluminium,Gris,35,MCH-06,MANUAL,2024-04-29 09:25:59,2024-04-29 10:12:12,7.1,done,2024-04-29 10:13:41
OF-2024-01354,ART-F31,Finition,25.3,Inox,Gris,18,MCH-01,CNC_FAST,2024-01-23 06:36:48,2024-01-23 06:47:09,2.8,done,2024-01-23 06:48:06
OF-2024-01355,ART-F27,Finition,162.2,Titane,Rouge,13,MCH-08,MANUAL,2024-05-08 11:22:01,2024-05-08 12:09:28,0.0,done,2024-05-08 12:12:17
OF-2024-01356,ART-A26,Assemblage,183.1,Inox,Rouge,35,MCH-04,CNC_STD,2024-06-20 15:00:53,2024-06-20 16:25:27,21.4,done,2024-06-20 16:28:17
OF-2024-01357,ART-S09,Soudure,11.4,Acier,Jaune,55,MCH-08,MANUAL,2024-06-15 07:05:57,2024-06-15 09:09:08,0.0,done,2024-06-15 09:12:59
OF-2024-01358,ART-U32,Usinage,131.7,Aluminium,Gris,31,MCH-01,CNC_FAST,2024-06-29 12:41:22,2024-06-29 13:24:15,0.0,done,2024-06-29 13:25:56
OF-2024-01359,ART-U00,Usinage,184.0,Inox,Jaune,32,MCH-01,CNC_FAST,2024-05-13 10:06:02,2024-05-13 11:47:54,6.6,done,2024-05-13 11:48:47
OF-2024-01360,ART-S21,Soudure,45.5,Inox,Vert,43,MCH-10,ROBOT_CELL,2024-08-25 09:05:11,2024-08-25 10:45:13,0.0,done,2024-08-25 10:48:05
OF-2024-01361,ART-U16,Usinage,144.1,Aluminium,Noir,257,MCH-04,CNC_STD,2024-03-04 19:36:05,2024-03-05 02:56:04,0.0,done,2024-03-05 02:56:55
OF-2024-01362,ART-S25,Soudure,151.9,Acier,Bleu,384,MCH-06,MANUAL,2024-08-17 17:44:36,2024-08-19 05:52:49,293.8,done,2024-08-19 05:57:11
OF-2024-01363,ART-A10,Assemblage,48.9,Aluminium,Jaune,60,MCH-09,ROBOT_CELL,2024-05-03 06:47:08,2024-05-03 07:35:18,0.0,done,2024-05-03 07:37:28
OF-2024-01364,ART-A18,Assemblage,15.6,Inox,Rouge,60,MCH-03,CNC_STD,2024-08-12 07:54:28,2024-08-12 08:34:35,0.0,done,2024-08-12 08:38:51
OF-2024-01365,  ART-F07 ,Finition,147.0,Acier,Gris,53,MCH-08,MANUAL,2024-05-13 09:15:26,2024-05-13 10:21:49,0.0,done,2024-05-13 10:25:15
OF-2024-01366,  ART-U16 ,Usinage,144.1,Aluminium,Noir,64,MCH-04,CNC_STD,2024-05-15 11:14:37,2024-05-15 13:41:39,0.0,done,2024-05-15 13:44:12
OF-2024-01367,ART-U08,Usinage,22.6,Inox,Noir,66,MCH-01,CNC_FAST,2024-01-06 18:04:20,2024-01-06 19:03:19,0.0,done,2024-01-06 19:03:52
OF-2024-01368,ART-A26,Assemblage,183.1,Inox,Rouge,326,MCH-05,CNC_STD,2024-05-25 08:52:16,2024-05-25 17:48:03,170.5,done,2024-05-25 17:49:53
OF-2024-01369,ART-F15,Finition,196.8,Titane,Jaune,27,MCH-02,CNC_FAST,2024-07-05 16:30:57,2024-07-05 17:10:19,10.6,done,2024-07-05 17:14:00
OF-2024-01370,ART-S25,Soudure,151.9,Acier,Bleu,113,MCH-10,ROBOT_CELL,2024-08-10 20:17:35,2024-08-11 02:45:21,0.0,done,2024-08-11 02:46:36
OF-2024-01371,ART-U32,Usinage,131.7,Aluminium,Gris,120,MCH-03,CNC_STD,2024-03-04 08:07:28,2024-03-04 11:33:42,0.0,done,2024-03-04 11:36:29
OF-2024-01372,  ART-F19 ,Finition,100.8,Aluminium,Gris,5,MCH-06,MANUAL,2024-07-25 21:15:41,2024-07-25 21:30:19,2.3,done,2024-07-25 21:33:17
OF-2024-01373,ART-U16,Usinage,144.1,Aluminium,Noir,59,MCH-03,CNC_STD,2024-05-11 12:21:19,2024-05-11 14:43:53,24.1,done,2024-05-11 14:48:00
OF-2024-01374,ART-S33,Soudure,195.1,Inox,Gris,56,MCH-07,MANUAL,01/01/2024 06:06,01/01/2024 13:44,0.0,done,01/01/2024 13:49
OF-2024-01375,ART-A10,Assemblage,48.9,Aluminium,Jaune,52,MCH-07,MANUAL,19/08/2024 12:00,,0.0,running,19/08/2024 13:16
OF-2024-01376,ART-A10,Assemblage,48.9,Aluminium,Jaune,45,MCH-06,MANUAL,2024-06-17 09:42:10,2024-06-17 10:48:47,0.0,done,2024-06-17 10:53:47
OF-2024-01377,art-f19,Finition,100.8,Aluminium,Gris,48,MCH-07,MANUAL,07/03/2024 17:21,07/03/2024 18:21,3.8,done,07/03/2024 18:26
OF-2024-01378,ART-U04,Usinage,186.4,Inox,Rouge,14,MCH-01,CNC_FAST,2024-08-18 11:09:32,2024-08-18 12:03:40,13.7,done,2024-08-18 12:08:29
OF-2024-01379,ART-F11,Finition,147.9,Acier,Gris,22,MCH-02,CNC_FAST,2024-05-08 08:10:06,2024-05-08 08:29:55,0.0,done,2024-05-08 08:34:41
OF-2024-01380,art-f19,Finition,100.8,Aluminium,Gris,387,MCH-06,MANUAL,2024-01-29 12:50:19,2024-01-29 20:44:10,0.0,done,2024-01-29 20:48:15
OF-2024-01381,ART-F27,Finition,162.2,Titane,Rouge,61,MCH-01,CNC_FAST,2024-03-21 10:04:17,2024-03-21 11:25:13,0.0,done,2024-03-21 11:29:40
OF-2024-01382,ART-U28,Usinage,115.2,Aluminium,Bleu,5,MCH-01,CNC_FAST,2024-06-29 08:07:13,,0.0,running,2024-06-29 08:30:17
OF-2024-01383,ART-U32-MM,Usinage,131.7,Aluminium,Gris,29,MCH-03,CNC_STD,2024-07-13 10:10:57,2024-07-13 11:19:45,17.7,done,2024-07-13 11:22:48
OF-2024-01384,art-a06,Assemblage,21.3,Acier,Noir,5,MCH-07,MANUAL,18/03/2024 10:06,18/03/2024 10:20,1.2,done,18/03/2024 10:23
OF-2024-01385,ART-U04,Usinage,186.4,Inox,Rouge,52,MCH-04,CNC_STD,2024-08-04 07:58:54,2024-08-04 11:29:27,46.7,done,2024-08-04 11:33:56
OF-2024-01386,ART-F15,Finition,196.8,Titane,Jaune,16,MCH-01,CNC_FAST,2024-04-10 17:01:36,2024-04-10 17:29:07,7.7,done,2024-04-10 17:33:23
OF-2024-01387,ART-S33,Soudure,195.1,Inox,Gris,11,MCH-08,MANUAL,2024-02-29 11:28:20,2024-02-29 14:03:31,0.0,done,2024-02-29 14:04:24
OF-2024-01388,ART-A10,Assemblage,48.9,Aluminium,Jaune,196,MCH-07,MANUAL,23/07/2024 16:31,23/07/2024 19:28,0.0,done,23/07/2024 19:32
OF-2024-01389,ART-U16,Usinage,144.1,Aluminium,Noir,36,MCH-02,CNC_FAST,2024-07-28 13:25:27,2024-07-28 14:27:15,16.5,done,2024-07-28 14:30:31
OF-2024-01390,ART-S13,Soudure,74.7,Acier,Jaune,76,MCH-08,MANUAL,2024-05-06 16:21:56,2024-05-06 21:55:55,53.8,done,2024-05-06 21:57:08
OF-2024-01391,ART-U16,Usinage,144.1,Aluminium,Noir,66,MCH-01,CNC_FAST,2024-06-29 20:24:52,2024-06-29 22:05:42,0.0,done,2024-06-29 22:09:33
OF-2024-01392,ART-S01,Soudure,191.3,Titane,Bleu,51,MCH-07,MANUAL,09/03/2024 12:41,09/03/2024 20:06,0.0,done,09/03/2024 20:08
OF-2024-01393,ART-U04,Usinage,186.4,Inox,Rouge,80,MCH-02,CNC_FAST,2024-05-31 14:48:06,2024-05-31 18:10:27,0.0,done,2024-05-31 18:12:32
OF-2024-01394,ART-F19,Finition,100.8,Aluminium,Gris,79,MCH-01,CNC_FAST,2024-03-29 07:44:31,2024-03-29 08:22:26,0.0,done,2024-03-29 08:24:26
OF-2024-01395,ART-F15,Finition,196.8,Titane,Jaune,74,MCH-08,MANUAL,2024-02-18 21:55:22,2024-02-19 01:46:03,0.0,done,2024-02-19 01:49:33
OF-2024-01396,ART-A26,Assemblage,183.1,Inox,Rouge,14,MCH-08,MANUAL,2024-02-01 08:52:11,2024-02-01 10:02:17,0.0,done,2024-02-01 10:05:45
OF-2024-01397,ART-A18,Assemblage,15.6,Inox,Rouge,74,MCH-07,MANUAL,12/02/2024 11:29,12/02/2024 12:40,24.7,done,12/02/2024 12:41
OF-2024-01398,ART-S13,Soudure,74.7,Acier,Jaune,27,MCH-07,MANUAL,01/03/2024 12:26,01/03/2024 15:18,60.2,done,01/03/2024 15:23
OF-2024-01399,art-a30,Assemblage,130.4,Acier,Gris,40,MCH-12,ROBOT_CELL,2024-07-18 09:04:37,2024-07-18 10:06:28,12.7,done,2024-07-18 10:09:28
OF-2024-01400,ART-U28,Usinage,115.2,Aluminium,Bleu,27,MCH-05,CNC_STD,2024-04-26 11:32:48,2024-04-26 12:30:51,0.0,done,2024-04-26 12:34:42
OF-2024-01401,ART-U04,Usinage,186.4,Inox,Rouge,18,MCH-04,CNC_STD,2024-03-27 18:23:56,2024-03-28 14:45:18,0.0,done,2024-03-28 14:47:43
OF-2024-01402,ART-U28,Usinage,115.2,Aluminium,Bleu,366,MCH-05,CNC_STD,2024-01-06 09:01:01,2024-01-06 21:08:06,0.0,done,2024-01-06 21:11:24
OF-2024-01403,ART-S13,Soudure,74.7,Acier,Jaune,42,MCH-09,ROBOT_CELL,2024-05-07 10:16:42,2024-05-07 12:10:08,0.0,done,2024-05-07 12:13:26
OF-2024-01404,ART-A02,Assemblage,36.9,Aluminium,Vert,14,MCH-11,ROBOT_CELL,2024-06-26 18:20:27,2024-06-26 18:33:51,0.0,done,2024-06-26 18:37:57
OF-2024-01405,ART-F03,Finition,55.9,Titane,Jaune,27,MCH-01,CNC_FAST,2024-02-18 21:29:34,2024-02-18 21:58:18,0.0,done,2024-02-18 22:01:48
OF-2024-01406,ART-S13,Soudure,74.7,Acier,Jaune,35,MCH-09,ROBOT_CELL,2024-06-18 08:43:03,2024-06-18 10:38:24,0.0,done,2024-06-18 10:41:54
OF-2024-01407,ART-U04,Usinage,186.4,Inox,Rouge,321,MCH-02,CNC_FAST,2024-03-03 12:02:39,2024-03-04 02:59:55,0.0,done,2024-03-04 03:02:09
OF-2024-01408,ART-A26,Assemblage,183.1,Inox,Rouge,72,MCH-06,MANUAL,2024-01-07 17:21:34,2024-01-07 21:21:00,59.2,done,2024-01-07 21:22:39
OF-2024-01409,ART-U24,Usinage,173.0,Aluminium,Vert,51,MCH-01,CNC_FAST,2024-07-27 21:58:05,2024-07-27 23:07:01,16.0,done,2024-07-27 23:10:11
OF-2024-01410,ART-F11-MM,Finition,147.9,Acier,Gris,46,MCH-08,MANUAL,2024-03-28 10:40:01,2024-03-28 11:47:38,0.0,done,2024-03-28 11:50:02
OF-2024-01411,ART-A06,Assemblage,21.3,Acier,Noir,5,MCH-09,ROBOT_CELL,2024-07-03 07:19:36,2024-07-03 07:27:24,0.0,done,2024-07-03 07:28:34
OF-2024-01412,ARTF11,Finition,147.9,Acier,Gris,24,MCH-06,MANUAL,2024-04-13 12:24:59,2024-04-13 13:19:34,0.0,done,2024-04-13 13:21:15
OF-2024-01413,ART-A06-MM,Assemblage,21.3,Acier,Noir,9,MCH-11,ROBOT_CELL,2024-06-06 08:00:07,2024-06-06 08:08:36,0.0,done,2024-06-06 08:12:52
OF-2024-01414,ART-S17-MM,Soudure,16.0,Acier,Bleu,348,MCH-08,MANUAL,2024-04-17 14:12:18,2024-04-17 23:17:37,0.0,done,2024-04-17 23:21:31
OF-2024-01415,ART-A14,Assemblage,190.7,Acier,Noir,177,MCH-06,MANUAL,2024-04-23 18:28:03,2024-04-24 02:58:30,0.0,done,2024-04-24 03:02:14
OF-2024-01416,ART-U16,Usinage,144.1,Aluminium,Noir,17,MCH-01,CNC_FAST,2024-06-17 11:49:00,2024-06-17 12:19:53,0.0,done,2024-06-17 12:23:31
OF-2024-01417,ART-U04,Usinage,186.4,Inox,Rouge,192,MCH-01,CNC_FAST,2024-07-04 19:14:57,2024-07-05 03:51:08,0.0,done,2024-07-05 03:51:39
OF-2024-01418,ART-S09,Soudure,11.4,Acier,Jaune,56,MCH-08,MANUAL,2024-03-29 06:39:59,2024-03-29 08:48:05,0.0,done,2024-03-29 08:51:33
OF-2024-01419,ART-F15,Finition,196.8,Titane,Jaune,275,MCH-01,CNC_FAST,2024-04-30 10:53:11,2024-04-30 17:06:59,43.6,done,2024-04-30 17:10:37
OF-2024-01420,ART-F03,Finition,55.9,Titane,Jaune,245,MCH-02,CNC_FAST,2024-05-21 18:03:49,2024-05-21 21:13:02,58.0,done,2024-05-21 21:17:24
OF-2024-01421,ART-S29,Soudure,90.9,Aluminium,Vert,55,MCH-08,MANUAL,2024-05-23 17:45:33,2024-05-23 21:13:08,0.0,done,2024-05-23 21:15:34
OF-2024-01422,ART-A02,Assemblage,36.9,Aluminium,Vert,47,MCH-08,MANUAL,2024-01-21 21:26:19,2024-01-21 22:30:42,0.0,done,2024-01-21 22:32:28
OF-2024-01423,ART-S29,Soudure,90.9,Aluminium,Vert,8,MCH-07,MANUAL,08/07/2024 09:27,08/07/2024 10:31,5.7,done,08/07/2024 10:33
OF-2024-01424,ART-F23,Finition,23.0,Acier,Gris,37,MCH-02,CNC_FAST,2024-04-16 12:42:05,2024-04-16 12:55:01,0.0,done,2024-04-16 12:56:38
OF-2024-01425,ARTU16,Usinage,144.1,Aluminium,Noir,150,MCH-01,CNC_FAST,2024-04-22 22:05:46,2024-04-23 00:41:31,0.0,done,2024-04-23 00:45:00
OF-2024-01426,ART-S25,Soudure,151.9,Acier,Bleu,64,MCH-06,MANUAL,2024-07-19 09:18:24,2024-07-19 17:52:00,0.0,done,2024-07-19 17:53:26
OF-2024-01427,ART-A26,Assemblage,183.1,Inox,Rouge,45,MCH-10,ROBOT_CELL,2024-08-29 17:48:38,2024-08-29 19:35:47,27.1,done,2024-08-29 19:38:07
OF-2024-01428,  ART-U32 ,Usinage,131.7,Aluminium,Gris,63,MCH-02,CNC_FAST,2024-07-28 10:58:12,2024-07-28 12:23:36,0.0,done,2024-07-28 12:28:15
OF-2024-01429,ART-U32,Usinage,131.7,Aluminium,Gris,17,MCH-01,CNC_FAST,2024-08-07 18:43:40,2024-08-07 19:20:28,0.0,done,2024-08-07 19:21:43
OF-2024-01430,ART-A10,Assemblage,48.9,Aluminium,Jaune,70,MCH-04,CNC_STD,2024-08-27 16:30:48,2024-08-27 17:38:21,0.0,done,2024-08-27 17:39:07
OF-2024-01431,ART-U04,Usinage,186.4,Inox,Rouge,70,MCH-02,CNC_FAST,2024-06-18 15:08:18,2024-06-18 19:03:19,68.9,done,2024-06-18 19:05:23
OF-2024-01432,ART-U16,Usinage,144.1,Aluminium,Noir,17,MCH-05,CNC_STD,2024-07-31 19:08:27,2024-07-31 20:14:13,0.0,done,2024-07-31 20:15:13
OF-2024-01433,ART-A14,Assemblage,190.7,Acier,Noir,7,MCH-11,ROBOT_CELL,2024-05-17 21:08:29,2024-05-17 21:30:40,0.0,done,2024-05-17 21:34:00
OF-2024-01434,ART-A06,Assemblage,21.3,Acier,Noir,69,MCH-05,CNC_STD,2024-08-03 17:19:31,2024-08-03 18:04:30,0.0,done,2024-08-03 18:05:32
OF-2024-01435,ART-U32,Usinage,131.7,Aluminium,Gris,38,MCH-02,CNC_FAST,2024-07-29 15:46:14,2024-07-29 16:52:43,0.0,done,2024-07-29 16:56:09
OF-2024-01436,ART-F11,Finition,147.9,Acier,Gris,13,MCH-08,MANUAL,2024-03-29 14:07:38,2024-03-29 14:37:31,0.0,done,2024-03-29 14:39:47
OF-2024-01437,ART-U24,Usinage,173.0,Aluminium,Vert,72,MCH-04,CNC_STD,2024-05-01 14:03:24,2024-05-01 16:59:00,54.7,done,2024-05-01 17:02:41
OF-2024-01438,ART-A10,Assemblage,48.9,Aluminium,Jaune,36,MCH-03,CNC_STD,2024-05-10 14:56:35,2024-05-10 15:33:16,0.0,done,2024-05-10 15:34:20
OF-2024-01439,ART-U24,Usinage,173.0,Aluminium,Vert,37,MCH-01,CNC_FAST,2024-03-31 11:35:54,2024-03-31 12:41:18,0.0,done,2024-03-31 12:43:41
OF-2024-01440,ART-U28,Usinage,115.2,Aluminium,Bleu,57,MCH-02,CNC_FAST,2024-07-01 19:00:19,2024-07-01 20:07:48,20.4,done,2024-07-01 20:08:57
OF-2024-01441,  ART-A06 ,Assemblage,21.3,Acier,Noir,217,MCH-07,MANUAL,30/01/2024 14:03,30/01/2024 16:36,0.0,done,30/01/2024 16:41
OF-2024-01442,ART-U28,Usinage,115.2,Aluminium,Bleu,59,MCH-02,CNC_FAST,2024-05-30 20:54:17,2024-05-30 22:03:49,0.0,done,2024-05-30 22:04:37
OF-2024-01443,ART-F27,Finition,162.2,Titane,Rouge,328,MCH-02,CNC_FAST,2024-01-25 21:01:53,2024-01-26 02:11:40,0.0,done,2024-01-26 02:15:58
OF-2024-01444,ART-A26,Assemblage,183.1,Inox,Rouge,42,MCH-08,MANUAL,2024-08-29 16:02:09,2024-08-29 18:53:37,0.0,done,2024-08-29 18:55:17
